WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
12596,PAE.Nq.LA-250(d),LA-250(d),380.3,4162,A112,-38.74360155,-68.2621814,1,2,1,18,1,10
12597,PAE.Nq.LA-166(d),LA-166(d),371.74,4220.44,A112,-38.74368427,-68.26229081,1,2,1,18,1,10
12598,PAE.Nq.BCeCf-101(h),BCeCf-101(h),234.97,4424,A199,-38.19018378,-68.87213322,1,1,2,18,1,23
12599,PAE.Nq.LA-256(d),LA-256(d),359.97,4240.2,A112,-38.7452973,-68.24628167,1,2,1,18,1,10
12600,PAE.Nq.BCeCf-102(h),BCeCf-102(h),226.47,4462,A199,-38.19018378,-68.87213322,4,1,2,18,1,23
12601,PLU.Nq.Ce-1541(d),Ce-1541(d),289.62,3362,A243,-38.90369659,-68.2838483,1,2,1,25,1,11
12602,PAE.Nq.LA-164(d),LA-164(d),380.3,4291,A112,-38.74378179,-68.26240729,1,2,1,18,1,10
12603,YPF.Nq.Sa-1243,Sa-1243,285.7,2000,A001,-38.90630535,-68.38945746,8,0,0,3,1,13
12604,YPF.Nq.Laj-172(d),Laj-172(d),543.7,2735,A117,-38.75705353,-68.93302168,1,2,1,2,1,10
12605,YPF.Nq.Laj-177(d),Laj-177(d),559.34,2740,A117,-38.75649576,-68.92487943,8,2,1,2,1,10
12606,YPF.Nq.Laj-188(d)(I),Laj-188(d),543.72,3004,A117,-38.75355057,-68.89669641,8,2,1,2,1,10
12607,YPF.Nq.LLL-442(d),LLL-442(d),423.46,3158,A117,-38.52081014,-68.63905897,8,0,1,2,1,21
12608,YPF.Nq.Laj-298(d),Laj-298(d),525.96,3650,A117,-38.75835736,-68.96102394,1,2,1,2,1,10
12609,YPF.Nq.Laj-161(d),Laj-161(d),513.09,2716,A117,-38.75396322,-68.95849657,8,2,1,2,1,10
12610,YPF.Nq.Laj-169(d),Laj-169(d),522.07,2506,A117,-38.74962623,-68.94158151,8,2,1,2,1,10
12611,PBE.Nq.SCh-116(d),SCh-116(d),644.46,1975,A167,-38.16035762,-69.28822144,8,2,1,16,1,14
