INDEX,AREA_NAME,OBJECTID,SURFACE_AREA,PERIMETER,OPERATOR_INDEX3,CONTRACT_INDEX2
62,CHASQUIVIL SUR ,267.00000000,105.592492950000000,84.904268410000000,7,10
63,CHIHUIDO DE LA SALINA SUR ,196.00000000,12.910024480000000,22.957714390000000,27,1
64,CHIHUIDO DE LA SIERRA NEGRA ,332.00000000,669.984326890000000,189.232531450000000,27,1
65,CHINA MUERTA ,314.00000000,299.154467000000000,87.801189370000000,7,10
66,CNQ-12 - LAGUNA BLANCA ,253.00000000,5756.857302110000000,439.303224120000000,7,10
67,CNQ-14/A - ZAPALA BLOQUE I,187.00000000,322.048004240000000,369.024889740000000,7,10
68,CNQ-14/A - ZAPALA BLOQUE II,187.00000000,226.436076110000000,369.024889740000000,7,10
69,CNQ-14/A - ZAPALA BLOQUE III,187.00000000,181.026697800000000,369.024889740000000,7,10
70,COIRON AMARGO NORTE ,213.00000000,108.352409170000000,119.162721200000000,25,5
71,COIRON AMARGO SUR ESTE ,256.00000000,228.420984180000000,119.162721200000000,15,3
72,COIRON AMARGO SUR OESTE ,256.00000000,66.644680160000000,119.162721200000000,22,3
73,COLLON CURA Bloque I ,328.00000000,8.942496680000000,26.256273240000000,13,1
74,CORDILLERA DEL VIENTO ,192.00000000,5703.583336950000000,460.298040330000000,7,10
75,CORRALERA NORESTE ,310.00000000,109.798400380000000,112.399824380000000,10,3
76,CORRALERA NOROESTE ,310.00000000,108.237229420000000,112.399824380000000,17,7
77,CORRALERA SUR ,310.00000000,117.741680370000000,112.399824380000000,10,7
78,CORTADERA NORTE ,278.00000000,187.108050080000000,147.320604610000000,7,10
79,CORTADERA SUR ,278.00000000,182.323812840000000,147.320604610000000,21,7
80,COVUNCO NORTE SUR BLOQUE I,239.00000000,222.991853440000000,117.168382050000000,1,4
81,COVUNCO NORTE SUR BLOQUE II,233.00000000,112.505668200000000,117.168382050000000,1,4
82,CRUZ DE LORENA ,279.00000000,158.744325590000000,68.375412180000000,22,3
83,CURAMHUELE ,275.00000000,227.475685320000000,76.545767790000000,11,4
84,CUTRAL CO NORTE ,316.00000000,25.284083270000000,26.115244040000000,12,1
85,CUTRAL CO SUR ,315.00000000,101.531502680000000,58.718514570000000,13,1
86,CUYIN GRANDE ,261.00000000,221.621156770000000,180.363298540000000,7,10
87,DADIN BLOQUE I,215.00000000,45.062795560000000,55.128465950000000,27,2
88,DADIN BLOQUE II,210.00000000,4.844417500000000,19.949697570000000,27,2
89,DADIN BLOQUE III,317.00000000,5.664205000000000,14.983562610000000,27,2
90,DON RUIZ ,209.00000000,109.216586180000000,78.442009670000000,27,1
91,DOS HERMANAS BLOQUE I,186.00000000,124.544295810000000,60.710253060000000,13,1
92,DOS HERMANAS BLOQUE II,191.00000000,83.880406560000000,48.292502070000000,13,1
93,DOS PICOS ,185.00000000,29.592900000000000,22.973398690000000,12,1
94,EL CARACOL NORTE ,305.00000000,160.608821390000000,55.413348220000000,16,8
95,EL CHURQUI ,309.00000000,131.787148290000000,49.419604310000000,7,10
96,EL CORTE ,241.00000000,167.097180640000000,77.399500000000000,7,10
97,EL CORTE Bloque I ,241.00000000,89.322420620000000,77.399500000000000,7,9
98,EL CORTE Bloque II ,241.00000000,78.292987490000000,77.399500000000000,7,9
99,EL HUECU ,294.00000000,6628.649389870000000,378.895307770000000,7,10
100,EL MANGRULLO ,199.00000000,190.824392620000000,72.628038410000000,14,3
