DEPTH_m,LATITUDE,LONGITUDE,FM_ID
761,-38.90035337,-69.22372361,13
758,-38.89903867,-69.22332628,13
744,-38.89809921,-69.22252465,13
743,-38.89689647,-69.22383564,13
960,-38.89805773,-69.22413418,13
999999,-38.89286652,-69.22233631,7
999999,-38.89448441,-69.22486016,7
790,-38.89647715,-69.22217555,13
999999,-38.89360385,-69.22835909,7
801,-38.8964226,-69.23050608,7
1177,-38.8961207,-69.23264306,16
800,-38.8970652,-69.2356811,7
757,-38.9005503,-69.22765493,13
360,-38.9005941,-69.22760815,7
999999,-38.90635339,-69.2320098,7
770,-38.90791799,-69.23107948,16
999999,-38.9070136,-69.2286734,7
766,-38.90786989,-69.22834913,13
948,-38.90639841,-69.23028365,16
775,-38.90820113,-69.23509585,16
768,-38.90862921,-69.23790353,16
785,-38.91074877,-69.23583436,16
1000,-38.91041655,-69.23260863,16
762,-38.91111019,-69.23926556,16
760,-38.91363253,-69.24073431,16
1100,-38.91581801,-69.23229973,16
984,-38.91958719,-69.23647975,13
305,-38.89741077,-68.99933455,7
999999,-38.89745658,-68.98926185,7
450,-38.88481645,-69.00771722,7
400,-38.88817356,-68.9976462,7
1040,-38.88590366,-69.01627774,7
999999,-38.87835649,-69.01606869,7
368,-38.88652739,-69.02406821,7
254,-38.88640183,-69.03570055,7
552,-38.88649416,-69.03658923,7
1208,-38.86962032,-69.04680607,16
1256,-38.8701967,-69.05243316,16
1264,-38.87128313,-69.05601733,16
1256,-38.87297177,-69.05883212,16
1800,-38.87276007,-69.06511039,7
1013,-38.87129858,-69.07026202,7
894,-38.87243026,-69.07464618,7
896,-38.87180333,-69.07748855,7
875,-38.87237308,-69.07838242,7
176,-38.87254401,-69.07748685,7
999999,-38.873702,-69.07704638,7
855,-38.87311125,-69.07903079,7
885,-38.87343552,-69.08009174,7
837,-38.873906,-69.08047878,7
871,-38.87406103,-69.08113249,7
909,-38.87424883,-69.08256765,7
859,-38.87481583,-69.08171585,7
901,-38.87490339,-69.08353452,7
868,-38.87522471,-69.08458625,7
871,-38.87580317,-69.08326562,7
1100,-38.87570269,-69.0840043,13
887,-38.87614595,-69.08535456,7
861,-38.87656853,-69.08458784,7
999999,-38.87628063,-69.08340826,7
832,-38.87674796,-69.08215851,7
765,-38.87760283,-69.08257153,7
726,-38.87783648,-69.08196085,7
677,-38.87932486,-69.08170681,7
901,-38.87752164,-69.08731691,7
999999,-38.87761039,-69.08744489,7
878,-38.876856,-69.08634996,7
859,-38.87690112,-69.08539809,7
835,-38.877257,-69.08473074,7
838,-38.87756751,-69.08535626,7
868,-38.87755571,-69.08629398,7
825,-38.87852211,-69.08605361,7
825,-38.87825608,-69.08535708,7
827,-38.87893353,-69.0853721,7
798,-38.87958879,-69.08535868,7
770,-38.87942276,-69.08459123,7
749,-38.87932322,-69.08402277,7
768,-38.87876835,-69.08342537,7
794,-38.87815709,-69.0840214,7
767,-38.87828992,-69.08463251,7
805,-38.87761315,-69.08367977,7
725,-38.87989003,-69.0834551,7
712,-38.88044492,-69.0840241,7
701,-38.88052223,-69.08462095,7
884,-38.87868695,-69.08839816,7
899,-38.87943052,-69.0890953,7
850,-38.87917605,-69.08781623,7
819,-38.87965407,-69.08719165,7
839,-38.88015347,-69.08768955,7
815,-38.88064259,-69.08707918,7
831,-38.88067508,-69.0881875,7
872,-38.88027467,-69.08896847,7
887,-38.8805071,-69.09000599,7
880,-38.8811289,-69.09017728,7
841,-38.88135204,-69.08884194,7
680,-38.88164393,-69.08462228,7
999999,-38.88358829,-69.08348785,7
999999,-38.88609965,-69.08148721,7
798,-38.8818634,-69.08820317,7
804,-38.88244047,-69.08878646,7
